year,column,observed,total,percent
2018,FLCONFIN,29169,35943,81.2
2022,FLCONFIN,27684,30800,89.9
2025,FLCONFIN,0,29966,0.0
2000,FLCONICT,0,6214,0.0
2003,FLCONICT,0,10791,0.0
2006,FLCONICT,0,19604,0.0
2009,FLCONICT,0,25887,0.0
2012,FLCONICT,0,25313,0.0
2015,FLCONICT,0,6736,0.0
2018,FLCONICT,28201,35943,78.5
2022,FLCONICT,27328,30800,88.7
2025,FLCONICT,0,29966,0.0
2000,FLFAMILY,0,6214,0.0
2003,FLFAMILY,0,10791,0.0
2006,FLFAMILY,0,19604,0.0
2009,FLFAMILY,0,25887,0.0
2012,FLFAMILY,0,25313,0.0
2015,FLFAMILY,0,6736,0.0
2018,FLFAMILY,33079,35943,92.0
2022,FLFAMILY,28608,30800,92.9
2025,FLFAMILY,0,29966,0.0
2000,FLSCHOOL,0,6214,0.0
2003,FLSCHOOL,0,10791,0.0
2006,FLSCHOOL,0,19604,0.0
2009,FLSCHOOL,0,25887,0.0
2012,FLSCHOOL,0,25313,0.0
2015,FLSCHOOL,0,6736,0.0
2018,FLSCHOOL,33383,35943,92.9
2022,FLSCHOOL,28720,30800,93.2
2025,FLSCHOOL,0,29966,0.0
2000,GCAWARE,0,6214,0.0
2003,GCAWARE,0,10791,0.0
2006,GCAWARE,0,19604,0.0
2009,GCAWARE,0,25887,0.0
2012,GCAWARE,0,25313,0.0
2015,GCAWARE,0,6736,0.0
2018,GCAWARE,32117,35943,89.4
2022,GCAWARE,0,30800,0.0
2025,GCAWARE,0,29966,0.0
2000,GCSELFEFF,0,6214,0.0
2003,GCSELFEFF,0,10791,0.0
2006,GCSELFEFF,0,19604,0.0
2009,GCSELFEFF,0,25887,0.0
2012,GCSELFEFF,0,25313,0.0
2015,GCSELFEFF,0,6736,0.0
